day_name_tr,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pazartesi,-2090.89,30968.83,54080.61,140586.01,152768.74,150067.2,220125.74,192372.15,262515.63,240408.7,194194.21,197433.14,112818.43,17781.66,6763.48
Salı,1763.62,21566.31,52772.85,109011.52,157241.76,171842.1,238960.5,218429.12,213615.27,214542.14,224500.63,188040.28,143365.03,17054.35,4731.98
Çarşamba,-827.26,31015.39,45065.44,126538.5,170732.28,213121.07,207768.19,208887.13,233060.38,247391.38,224167.1,273941.19,162286.77,6307.31,-636.35
Perşembe,0.0,24473.51,51734.38,130404.99,152924.96,190403.73,187908.28,263968.83,232225.67,235125.01,219267.87,182444.24,143500.82,10729.12,1999.98
Cuma,1090.9,20931.38,95911.33,106597.19,179447.75,185197.16,209452.63,245299.96,261198.81,267852.79,264850.59,233996.79,164929.6,17310.07,3138.38
Cumartesi,-781.81,28097.59,66099.86,168752.69,238725.87,354764.72,468309.21,444476.93,480843.63,442514.73,394323.74,301215.25,200108.65,11447.32,815.08
Pazar,0.0,10646.74,78365.88,206740.31,293208.07,456709.08,472840.57,543139.06,509831.82,450241.97,363447.17,263408.88,185981.24,13940.79,909.08
