rank,fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct,potential_score,pctile_growth_index,pctile_return_rate_amount,pctile_discount_intensity,pctile_net_share_pct,score_excl_discount
589,Wide Leg,1687,16916.15,22790.64,-5874.49,-72.1,15,27,10953.17,11837.47,0.0388,1.0807,0.2578,0.0164,0.0949,52.6,27.3,55.9,76.3,82.6,46.6
590,Wide Leg,1714,24328.277,32495.807,-8167.53,4183.7727,31,47,9234.5346,23261.2724,0.4316,2.5189,0.2513,0.1331,0.1364,52.5,57.2,57.9,4.9,94.4,64.4
591,Straight,1677,22931.6387,35085.1487,-12153.51,1179.8454,23,47,11463.8529,23621.2958,0.3465,2.0605,0.3464,0.0398,0.1286,52.5,50.7,37.7,43.8,93.3,54.6
592,Super Skinny,1637,10027.7956,10536.8756,-509.08,240.0,11,13,6143.156,4393.7196,-0.166,0.7152,0.0483,0.0223,0.0562,52.4,15.5,97.6,68.0,54.9,48.5
593,Flare,1630,6252.2,11632.3,-5380.1,475.0182,6,18,818.17,10814.13,0.8593,13.2175,0.4625,0.0522,0.0351,52.4,95.1,18.3,29.2,26.1,58.2
594,Straight,1690,4549.89,10833.47,-6283.58,86.4364,4,16,1090.9,9742.57,0.7986,8.9308,0.58,0.0311,0.0255,52.3,91.8,9.4,56.0,13.3,51.3
595,Flare,1561,14688.9177,20870.6577,-6181.74,161.2909,14,28,9651.4877,11219.17,0.0751,1.1624,0.2962,0.0077,0.0824,52.3,29.4,47.8,85.0,76.8,44.0
596,Super Skinny,1853,7976.1316,8794.3016,-818.17,0.0,9,11,5662.5098,3131.7918,-0.2878,0.5531,0.093,0.0,0.0447,52.2,11.0,93.1,93.3,39.1,41.9
597,Super Skinny,1758,21852.9978,24489.3278,-2636.33,588.1818,25,31,18425.2055,6064.1223,-0.5048,0.3291,0.1077,0.0235,0.1226,52.1,6.0,90.6,66.8,91.6,48.5
598,Flare,1696,16485.9548,28322.1748,-11836.22,-60.1909,15,41,10958.6848,17363.49,0.2261,1.5845,0.4179,0.0036,0.0925,52.1,41.1,24.3,86.5,81.8,43.5
599,Flare,1616,11198.134,18115.684,-6917.55,586.9909,11,27,4878.7127,13236.9713,0.4614,2.7132,0.3819,0.0314,0.0628,52.1,60.0,30.5,55.7,62.5,51.2
600,Wide Leg,1538,5738.04,13828.89,-8090.85,610.4636,5,19,924.89,12904.0,0.8662,13.9519,0.5851,0.0423,0.0322,52.0,95.7,9.3,40.3,22.0,54.9
601,Flare,1882,4994.3378,8994.2978,-3999.96,537.2273,5,13,0.0,8994.2978,1.0,,0.4447,0.0564,0.028,52.0,98.7,19.8,25.5,16.3,58.6
602,Super Skinny,1619,8999.9462,9590.8462,-590.9,288.4546,9,11,3798.13,5792.7162,0.208,1.5251,0.0616,0.0561,0.0505,51.9,39.0,96.7,25.7,46.6,58.5
603,Mom,1936,17422.6849,26883.8449,-9461.16,1152.0636,19,41,7977.2957,18906.5492,0.4065,2.37,0.3519,0.0411,0.0977,51.9,54.9,35.8,42.1,83.7,54.3
604,Wide Leg,1542,11904.8894,16148.1194,-4243.23,-202.2727,11,19,7041.5594,9106.56,0.1279,1.2933,0.2628,0.0171,0.0668,51.9,33.0,54.7,75.7,66.0,46.0
605,Straight,1525,7735.0567,10309.9067,-2574.85,-29.3727,7,13,3953.3167,6356.59,0.2331,1.6079,0.2497,0.018,0.0434,51.8,42.0,58.5,74.1,37.3,46.3
606,Straight,1885,19683.4528,26960.6628,-7277.21,1293.8636,20,34,9490.81,17469.8528,0.296,1.8407,0.2699,0.0496,0.1104,51.8,47.1,53.4,31.7,88.7,56.9
607,Mom,1834,11061.55,15179.05,-4117.5,248.8818,12,22,4711.22,10467.83,0.3792,2.2219,0.2713,0.0427,0.062,51.7,53.0,53.3,39.8,61.5,54.7
608,Super Skinny,1570,7854.367,8672.537,-818.17,474.5454,8,10,3310.3,5362.237,0.2366,1.6199,0.0943,0.0519,0.0441,51.7,42.3,92.7,29.7,38.0,57.2
609,Wide Leg,1638,6370.2423,12052.0223,-5681.78,152.0,6,16,1693.4324,10358.5899,0.719,6.1169,0.4714,0.0375,0.0357,51.7,84.8,17.6,47.0,26.9,52.9
610,Mom,1754,7713.6116,8286.3316,-572.72,2000.0,11,13,2472.7342,5813.5974,0.4032,2.3511,0.0691,0.2132,0.0433,51.7,54.4,96.0,1.9,37.1,64.2
611,Mom,1776,9991.8388,10564.5588,-572.72,2775.5455,16,18,3737.6588,6826.9,0.2924,1.8265,0.0542,0.2224,0.056,51.6,47.0,97.2,1.6,54.5,64.1
612,Super Skinny,1825,8873.777,11969.217,-3095.44,306.4,9,15,4363.58,7605.637,0.2709,1.743,0.2586,0.025,0.0498,51.6,44.8,55.6,64.6,45.8,48.4
613,Flare,1935,8714.4064,13950.7064,-5236.3,308.2545,8,20,3454.5064,10496.2,0.5048,3.0384,0.3753,0.0303,0.0489,51.6,64.1,31.5,57.0,44.8,50.3
614,Slim Straight,1608,9296.2283,9296.2283,0.0,0.0,10,10,8205.3283,1090.9,-0.7653,0.133,0.0,0.0,0.0521,51.5,1.6,99.1,93.3,49.6,41.1
615,Slim Straight,1806,17271.6518,20762.5218,-3490.87,-138.8818,18,26,15308.0218,5454.5,-0.4746,0.3563,0.1681,0.009,0.0969,51.5,6.9,77.8,84.1,83.0,43.3
616,Wide Leg,1631,19841.5673,22042.6873,-2201.12,1356.7273,20,24,10537.5518,11505.1355,0.0439,1.0918,0.0999,0.0645,0.1113,51.5,27.6,91.8,20.9,88.9,59.2
617,Straight,1520,6983.133,11746.723,-4763.59,694.4545,7,17,999.99,10746.733,0.8297,10.7468,0.4055,0.08,0.0392,51.5,93.8,26.0,14.1,31.3,60.9
618,Mom,1505,6539.8196,7539.8096,-999.99,490.9091,8,10,2303.4996,5236.31,0.389,2.2732,0.1326,0.0611,0.0367,51.4,53.5,84.8,22.4,28.7,58.6
619,Wide Leg,1883,8414.9887,11596.7787,-3181.79,568.1818,9,15,3006.317,8590.4617,0.4815,2.8575,0.2744,0.0467,0.0472,51.3,62.1,52.5,34.3,43.2,55.6
620,Straight,1632,5501.3702,10555.8702,-5054.5,525.6182,5,15,909.08,9646.7902,0.8278,10.6116,0.4788,0.0474,0.0309,51.3,93.6,16.6,33.5,20.1,55.8
621,Wide Leg,1524,6066.3844,8813.1044,-2746.72,-225.9727,5,11,2181.8,6631.3044,0.5049,3.0394,0.3117,0.0329,0.034,51.3,64.2,44.7,53.7,24.5,50.7
622,Flare,1851,-785.21,5090.86,-5876.07,-460.2273,-2,12,818.17,4272.69,0.6786,5.2223,1.1542,0.0,-0.0044,51.2,80.8,0.5,93.3,0.6,40.7
623,Flare,1534,5767.9028,10350.1628,-4582.26,-398.2424,4,16,2545.42,7804.7428,0.5081,3.0662,0.4427,0.0082,0.0323,51.2,64.7,20.1,84.6,22.4,42.8
624,Baggy,1837,5063.06,10099.39,-5036.33,-500.8273,4,14,925.9,9173.49,0.8166,9.9076,0.4987,0.0438,0.0284,51.1,92.8,14.7,38.7,17.0,54.2
625,Mom,1857,13013.6196,15649.9496,-2636.33,1142.6909,15,21,5856.2797,9793.67,0.2516,1.6723,0.1685,0.068,0.073,51.1,43.3,77.7,18.8,70.2,59.1
626,Super Skinny,1813,9460.4048,11846.7348,-2386.33,-250.0,10,16,6636.2727,5210.4621,-0.1204,0.7851,0.2014,0.0,0.0531,51.1,17.7,70.8,93.3,51.1,40.6
627,Baggy,1638,7605.56,10923.17,-3317.61,576.2,7,13,2082.63,8840.54,0.6187,4.2449,0.3037,0.0686,0.0427,51.1,76.2,46.4,18.4,36.0,59.4
628,Flare,1911,10402.92,15830.13,-5427.21,896.9727,10,22,3602.98,12227.15,0.5448,3.3936,0.3428,0.0536,0.0583,51.1,67.9,38.5,28.3,57.7,56.8
629,Wide Leg,1777,14423.0815,21241.2115,-6818.13,899.7091,14,26,6889.7909,14351.4206,0.3513,2.083,0.321,0.0406,0.0809,51.1,51.0,42.9,42.8,76.0,53.2
630,Slim Straight,1845,10994.4247,11448.9747,-454.55,-27.2636,11,13,7239.7747,4209.2,-0.2647,0.5814,0.0397,0.0255,0.0617,51.0,11.4,98.0,64.1,60.8,47.7
631,Wide Leg,1912,11156.42,15610.93,-4454.51,354.5454,10,18,6181.76,9429.17,0.208,1.5253,0.2853,0.0222,0.0626,51.0,39.1,49.5,68.1,62.3,46.7
632,Straight,1553,4545.42,8399.93,-3854.51,0.0,4,12,1090.9,7309.03,0.7403,6.7,0.4589,0.0375,0.0255,50.9,87.1,18.6,47.1,13.3,51.9
633,Wide Leg,1658,6214.9943,9578.6043,-3363.61,354.5454,6,12,2090.89,7487.7143,0.5634,3.5811,0.3512,0.0357,0.0349,50.9,70.2,36.3,49.6,25.9,51.3
634,Mom,1565,12997.5151,13906.5951,-909.08,1150.9364,16,18,6036.28,7870.3151,0.1319,1.3038,0.0654,0.0764,0.0729,50.9,33.3,96.3,15.1,70.1,59.9
635,Super Skinny,1641,10238.5,13587.93,-3349.43,75.8091,10,18,6545.36,7042.57,0.0366,1.076,0.2465,0.0105,0.0574,50.8,27.2,59.5,83.2,56.4,42.8
636,Super Skinny,1939,10390.4068,12208.5668,-1818.16,369.4455,11,15,6142.65,6065.9168,-0.0063,0.9875,0.1489,0.0294,0.0583,50.7,24.6,82.5,58.1,57.6,48.9
637,Wide Leg,1517,12180.1565,21152.8165,-8972.66,597.7273,11,27,5045.41,16107.4065,0.523,3.1925,0.4242,0.0407,0.0683,50.6,65.7,23.2,42.5,66.8,52.6
638,Flare,1538,12491.993,24764.583,-12272.59,780.3091,12,38,6228.423,18536.16,0.497,2.9761,0.4956,0.0305,0.0701,50.6,63.2,15.0,56.7,68.2,49.1
639,Mom,1877,13065.3513,14701.6913,-1636.34,2353.2273,17,21,5668.3569,9033.3344,0.2289,1.5936,0.1113,0.138,0.0733,50.6,41.6,89.8,4.4,70.6,62.1
640,Straight,1853,11048.67,12485.01,-1436.34,878.5,11,15,4999.95,7485.06,0.199,1.497,0.115,0.0657,0.062,50.6,38.3,88.4,20.0,61.4,58.3
641,Flare,1744,6612.51,11175.99,-4563.48,-148.8182,6,16,3176.05,7999.94,0.4316,2.5188,0.4083,0.0086,0.0371,50.6,57.1,25.8,84.5,29.1,42.1
642,Wide Leg,1570,14008.282,24007.7719,-9999.49,781.8545,12,32,5699.94,18307.832,0.5252,3.2119,0.4165,0.0462,0.0786,50.6,65.9,24.5,34.9,74.5,54.6
643,Flare,1584,2363.61,6038.28,-3674.67,0.0,2,10,818.17,5220.11,0.729,6.3802,0.6086,0.0232,0.0133,50.5,85.9,7.8,66.9,5.4,46.4
644,Straight,1855,17899.2866,29233.2666,-11333.98,665.5455,17,41,7251.02,21982.2466,0.5039,3.0316,0.3877,0.0581,0.1004,50.5,64.0,29.0,24.2,85.4,57.1
645,Super Skinny,1574,1028.1662,4764.4762,-3736.31,168.4454,0,10,190.9,4573.5762,0.9199,23.958,0.7842,0.0341,0.0058,50.4,97.3,3.1,51.9,2.1,50.0
646,Wide Leg,1533,15000.3393,22727.5493,-7727.21,1421.6909,15,29,6100.1693,16627.38,0.4632,2.7257,0.34,0.0589,0.0841,50.2,60.1,39.1,23.7,77.7,56.8
647,Mom,1688,16354.3919,26939.6419,-10585.25,264.4455,15,45,6982.8619,19956.78,0.4816,2.858,0.3929,0.0508,0.0917,50.2,62.2,28.0,30.4,81.5,55.1
648,Slim Straight,1885,16385.8621,18994.9221,-2609.06,420.0,17,23,13540.4221,5454.5,-0.4257,0.4028,0.1374,0.0216,0.0919,50.1,7.7,84.1,68.9,81.6,45.4
649,Flare,1699,9069.8,14528.88,-5459.08,1652.7636,10,22,2090.87,12438.01,0.7122,5.9487,0.3757,0.117,0.0509,50.1,84.3,31.3,6.9,47.8,60.9
650,Super Skinny,1549,7306.3969,10860.2269,-3553.83,0.0,7,15,4272.67,6587.5569,0.2132,1.5418,0.3272,0.0,0.041,50.0,39.8,41.6,93.3,33.6,39.2
651,Super Skinny,1894,8357.1227,8720.8027,-363.68,424.5454,9,11,3970.8527,4749.95,0.0893,1.1962,0.0417,0.0464,0.0469,50.0,30.5,97.9,34.7,42.5,53.8
652,Slim Straight,1636,15426.9933,19027.1333,-3600.14,0.0,17,25,15922.4333,3104.7,-0.6737,0.195,0.1892,0.0,0.0865,50.0,3.1,73.3,93.3,78.8,39.2
653,Mom,1931,16126.74,21145.03,-5018.29,399.5364,18,30,11486.04,9658.99,-0.0864,0.8409,0.2373,0.0185,0.0904,50.0,19.7,61.3,73.3,80.5,44.1
654,Wide Leg,1654,8733.7817,13279.2017,-4545.42,342.1,8,16,4243.6585,9035.5431,0.3609,2.1292,0.3423,0.0251,0.049,49.9,51.5,38.7,64.4,44.8,46.2
655,Slim Straight,1684,7757.01,9666.08,-1909.07,0.0,8,12,5302.48,4363.6,-0.0971,0.8229,0.1975,0.0,0.0435,49.9,19.2,71.7,93.3,37.5,39.0
656,Wide Leg,1608,12453.3831,18623.8531,-6170.47,361.0545,11,23,5160.06,13463.7931,0.4459,2.6092,0.3313,0.0514,0.0698,49.9,58.6,41.1,30.1,68.0,54.9
657,Mom,1807,23320.4623,29941.8523,-6621.39,330.5727,25,43,16033.8522,13908.0,-0.071,0.8674,0.2211,0.0317,0.1308,49.9,20.5,66.5,55.2,93.5,48.6
658,Flare,1669,6207.09,9349.91,-3142.82,11.0364,6,14,2054.52,7295.39,0.5605,3.5509,0.3361,0.0424,0.0348,49.8,69.8,40.1,40.2,25.7,52.2
659,Flare,1775,15782.1778,26147.0878,-10364.91,73.3636,16,38,10335.6778,15811.41,0.2094,1.5298,0.3964,0.0164,0.0885,49.8,39.4,27.5,76.5,79.4,43.2
660,Slim Straight,1835,7057.763,8966.833,-1909.07,0.0,7,11,4603.233,4363.6,-0.0267,0.9479,0.2129,0.0,0.0396,49.8,23.2,68.4,93.3,31.7,38.9
661,Mom,1514,5743.9613,7653.0313,-1909.07,599.6091,7,11,1648.6946,6004.3367,0.5691,3.6419,0.2495,0.0727,0.0322,49.7,71.0,58.6,16.5,22.1,58.0
662,Mom,1803,22770.3218,31424.7618,-8654.44,1512.5,26,48,10791.5827,20633.1791,0.3132,1.912,0.2754,0.069,0.1277,49.7,48.0,51.9,18.0,93.1,57.7
663,Flare,1535,7632.77,10867.58,-3234.81,314.1273,7,15,3561.32,7306.26,0.3446,2.0516,0.2977,0.0281,0.0428,49.6,50.5,47.4,60.5,36.1,46.8
664,Wide Leg,1860,7727.21,9427.19,-1699.98,0.0,7,11,3999.96,5427.23,0.1514,1.3568,0.1803,0.0308,0.0433,49.6,34.7,75.3,56.3,37.3,47.9
665,Mom,1820,19209.0108,21663.5208,-2454.51,2023.0182,23,29,10149.7659,11513.755,0.063,1.1344,0.1133,0.0854,0.1077,49.5,28.7,89.0,12.9,87.8,58.6
666,Flare,1520,3687.51,7809.01,-4121.5,221.5454,3,13,0.0,7809.01,1.0,,0.5278,0.056,0.0207,49.4,98.7,13.4,25.8,9.2,55.3
667,Wide Leg,1825,11429.5196,22415.7996,-10986.28,1325.0182,11,31,4186.3103,18229.4893,0.6265,4.3545,0.4901,0.0558,0.0641,49.3,76.8,15.5,25.9,63.4,55.1
668,Baggy,1621,9334.5109,13390.7609,-4056.25,1029.0546,9,17,2945.43,10445.3309,0.5601,3.5463,0.3029,0.0915,0.0524,49.3,69.7,46.6,11.2,50.2,58.8
669,Mom,1543,11770.3785,19359.1485,-7588.77,47.9546,12,30,7744.3585,11614.79,0.1999,1.4998,0.392,0.0077,0.066,49.2,38.4,28.2,84.9,65.3,40.3
670,Flare,1879,6150.8674,10726.5674,-4575.7,133.4818,6,16,2181.1874,8545.38,0.5933,3.9178,0.4266,0.0339,0.0345,49.2,73.2,22.8,52.1,25.1,48.4
671,Wide Leg,1732,6610.07,10047.55,-3437.48,101.1455,6,12,2790.88,7256.67,0.4445,2.6001,0.3421,0.029,0.0371,49.2,58.4,38.8,59.0,29.0,46.8
672,Slim Straight,1650,14530.9182,17530.8882,-2999.97,300.0,16,22,12467.2982,5063.59,-0.4223,0.4061,0.1711,0.0168,0.0815,49.1,7.8,77.3,75.9,76.3,42.4
673,Flare,1585,3270.69,8677.83,-5407.14,-88.9,3,15,1636.34,7041.49,0.6229,4.3032,0.6231,0.0159,0.0183,49.1,76.6,7.5,77.3,7.8,42.1
674,Mom,1630,9261.53,11357.46,-2095.93,649.6438,10,16,4031.28,7326.18,0.2901,1.8173,0.1845,0.0613,0.0519,49.0,46.6,74.2,22.3,49.2,55.7
675,Mom,1641,11572.6659,17004.4059,-5431.74,167.0818,12,26,6648.8659,10355.54,0.218,1.5575,0.3194,0.0265,0.0649,49.0,40.2,43.1,62.6,64.2,45.6
676,Mom,1552,11189.0843,15847.0143,-4657.93,628.4091,12,24,4618.1376,11228.8767,0.4172,2.4315,0.2939,0.0553,0.0628,49.0,55.6,48.1,26.5,62.4,54.5
677,Flare,1593,10534.6373,17170.9073,-6636.27,703.8818,9,25,4636.1673,12534.74,0.46,2.7037,0.3865,0.0394,0.0591,49.0,59.9,29.5,44.6,58.1,50.1
678,Straight,1919,9882.8105,19162.9805,-9280.17,263.8727,9,27,6078.32,13084.6605,0.3656,2.1527,0.4843,0.0136,0.0554,48.9,52.1,16.2,79.7,53.9,41.2
679,Slim Straight,1884,9267.78,10176.86,-909.08,118.5727,10,12,8113.63,2063.23,-0.5945,0.2543,0.0893,0.0115,0.052,48.9,4.6,93.4,81.6,49.3,40.7
680,Baggy,1823,6388.34,12397.1,-6008.76,179.8,5,17,2020.18,10376.92,0.6741,5.1366,0.4847,0.0397,0.0358,48.9,79.9,16.1,44.0,27.3,50.1
681,Straight,1882,9483.9846,14423.7946,-4939.81,609.3818,10,20,3210.6846,11213.11,0.5548,3.4924,0.3425,0.0668,0.0532,48.8,69.0,38.6,19.4,51.1,56.1
682,Mom,1766,19882.97,22337.48,-2454.51,3480.4182,26,32,10255.81,12081.67,0.0817,1.178,0.1099,0.1348,0.1115,48.8,29.9,90.1,4.8,89.0,59.8
683,Mom,1758,22393.51,31019.98,-8626.47,504.5727,24,46,13894.87,17125.11,0.1041,1.2325,0.2781,0.038,0.1256,48.7,31.9,51.3,46.3,92.2,49.3
684,Super Skinny,1507,13409.7379,18937.1879,-5527.45,0.2364,14,26,8968.28,9968.9078,0.0528,1.1116,0.2919,0.0198,0.0752,48.6,28.1,48.6,71.7,72.4,42.8
685,Slim Straight,1513,10848.758,12757.828,-1909.07,0.0,12,16,11666.928,1090.9,-0.829,0.0935,0.1496,0.0,0.0608,48.6,1.0,82.0,93.3,59.9,37.4
686,Super Skinny,1593,9278.5553,9278.5553,0.0,233.6364,11,11,6410.3153,2868.24,-0.3817,0.4474,0.0,0.0246,0.052,48.6,8.4,99.1,65.3,49.4,44.4
687,Slim Straight,1828,11575.63,13121.06,-1545.43,-30.3,12,16,10090.79,3030.27,-0.5381,0.3003,0.1178,0.0181,0.0649,48.5,5.4,87.9,73.6,64.3,42.2
688,Baggy,1618,9026.58,12099.28,-3072.7,125.1727,8,14,4363.6,7735.68,0.2787,1.7728,0.254,0.0402,0.0506,48.4,45.8,57.4,43.3,46.9,49.6
689,Flare,1624,6484.2759,12387.1459,-5902.87,223.5091,5,19,1966.9059,10420.24,0.6824,5.2978,0.4765,0.0447,0.0364,48.4,81.1,16.8,37.5,28.3,51.1
690,Super Skinny,1839,9868.7133,9868.7133,0.0,178.4454,12,12,8868.7233,999.99,-0.7973,0.1128,0.0,0.0178,0.0553,48.3,1.3,99.1,74.8,53.7,41.7
691,Super Skinny,1838,8323.3709,10323.3509,-1999.98,120.0,9,13,5687.0209,4636.33,-0.1018,0.8152,0.1937,0.0115,0.0467,48.3,18.9,72.2,81.7,42.2,39.9
692,Mom,1655,10087.8259,16458.1058,-6370.28,67.5364,10,26,5911.967,10546.1388,0.2816,1.7839,0.3871,0.0203,0.0566,48.3,46.0,29.4,71.1,55.2,42.5
693,Wide Leg,1561,17636.5534,25109.2234,-7472.67,1593.2,18,32,8644.2806,16464.9428,0.3115,1.9047,0.2976,0.0597,0.0989,48.3,47.8,47.4,23.0,84.5,54.6
694,Wide Leg,1575,13472.5292,26947.8192,-13475.29,642.2542,10,40,6028.5924,20919.2267,0.5526,3.47,0.5001,0.0498,0.0756,48.3,68.7,14.6,31.5,72.7,52.5
695,Flare,1849,5368.68,15931.07,-10562.39,-27.2636,5,27,2818.15,13112.92,0.6462,4.653,0.663,0.0251,0.0301,48.2,77.7,5.6,64.5,19.0,44.2
696,Wide Leg,1502,10914.287,13186.997,-2272.71,871.7545,10,14,5227.23,7959.767,0.2072,1.5228,0.1723,0.062,0.0612,48.1,38.9,76.7,21.7,60.3,54.7
697,Mom,1651,15338.3484,21720.0784,-6381.73,502.4455,17,33,8296.0366,13424.0418,0.2361,1.6181,0.2938,0.0453,0.086,48.1,42.1,48.2,36.8,78.5,50.8
698,Slim Straight,1873,7620.8473,9711.7373,-2090.89,0.0,8,12,5440.1373,4271.6,-0.1203,0.7852,0.2153,0.0,0.0427,48.1,17.8,67.6,93.3,36.1,36.8
699,Super Skinny,1873,13464.6598,17521.0498,-4056.39,198.4,15,23,9039.8527,8481.1971,-0.0319,0.9382,0.2315,0.028,0.0755,48.1,23.0,63.3,60.8,72.6,44.9
700,Flare,1823,16285.4045,24222.0845,-7936.68,716.0455,16,34,9715.8446,14506.2399,0.1978,1.493,0.3277,0.0343,0.0913,48.1,38.1,41.5,51.5,81.3,47.3
701,Skinny,1828,8545.38,9636.28,-1090.9,0.0,8,10,8727.2,909.08,-0.8113,0.1042,0.1132,0.0,0.0479,48.0,1.2,89.1,93.3,44.0,36.7
702,Slim Straight,1810,16085.5104,19994.5604,-3909.05,327.2727,17,25,14867.3304,5127.23,-0.4871,0.3449,0.1955,0.0161,0.0902,48.0,6.4,72.0,76.9,80.2,40.7
703,Wide Leg,1884,3201.5908,6806.3808,-3604.79,428.1818,4,10,299.08,6507.3008,0.9121,21.7577,0.5296,0.0592,0.018,48.0,97.2,13.1,23.4,7.7,54.1
704,Mom,1507,16056.0801,30134.8101,-14078.73,132.4455,15,51,10085.0201,20049.79,0.3307,1.9881,0.4672,0.0294,0.09,48.0,49.8,17.9,58.0,80.1,45.5
705,Wide Leg,1922,11953.8555,18361.5755,-6407.72,434.8485,10,24,6699.93,11661.6455,0.2702,1.7406,0.349,0.0326,0.067,48.0,44.8,37.3,54.1,66.1,46.4
706,Straight,1912,9901.68,12856.2,-2954.52,734.5909,10,16,4083.21,8772.99,0.3648,2.1486,0.2298,0.0757,0.0555,48.0,51.9,64.2,15.5,54.0,56.1
707,Super Skinny,1822,8239.02,10693.53,-2454.51,0.0,9,15,5999.92,4693.61,-0.1222,0.7823,0.2295,0.0,0.0462,47.9,17.5,64.5,93.3,41.0,36.6
708,Straight,1674,16122.9175,27113.7275,-10990.81,927.5727,16,38,7727.1918,19386.5357,0.43,2.5089,0.4054,0.0488,0.0904,47.9,57.0,26.2,32.3,80.4,51.8
709,Super Skinny,1874,8790.542,12972.322,-4181.78,0.0,9,17,5999.92,6972.402,0.075,1.1621,0.3224,0.0,0.0493,47.8,29.4,42.5,93.3,45.5,36.5
710,Skinny,1760,8272.6536,9363.5536,-1090.9,0.0,8,10,8090.8336,1272.72,-0.7282,0.1573,0.1165,0.0,0.0464,47.8,2.2,88.2,93.3,41.6,36.5
711,Flare,1836,309.4,7138.2,-6828.8,145.1636,-1,15,0.0,7138.2,1.0,,0.9567,0.0424,0.0017,47.8,98.7,0.8,40.0,0.9,49.8
712,Super Skinny,1911,6794.723,7612.893,-818.17,120.0,8,10,4740.6159,2872.2771,-0.2454,0.6059,0.1075,0.0155,0.0381,47.7,12.5,90.7,77.7,30.1,40.2
713,Mom,1932,18414.0106,22568.5006,-4154.49,2217.0728,23,33,9483.6106,13084.89,0.1596,1.3797,0.1841,0.1003,0.1033,47.7,35.4,74.3,9.7,86.7,57.2
714,Straight,1825,11032.743,21487.193,-10454.45,1451.1727,12,32,4189.03,17298.163,0.6101,4.1294,0.4865,0.0633,0.0619,47.5,75.5,15.9,21.2,61.0,54.2
715,Super Skinny,1763,8268.94,10632.56,-2363.62,3949.1,14,17,2787.84,7844.72,0.4756,2.8139,0.2223,0.2708,0.0464,47.5,61.5,66.4,0.6,41.4,59.3
716,Slim Straight,1507,15510.77,19419.82,-3909.05,437.9273,17,25,12600.83,6818.99,-0.2977,0.5412,0.2013,0.0221,0.087,47.5,10.7,70.9,68.2,79.0,42.3
717,Flare,1679,3558.28,7023.95,-3465.67,613.2636,3,11,0.0,7023.95,1.0,,0.4934,0.0803,0.02,47.4,98.7,15.2,14.0,8.8,55.8
718,Super Skinny,1803,11080.4418,15270.6218,-4190.18,0.0,11,21,8823.6027,6447.0191,-0.1556,0.7307,0.2744,0.0,0.0621,47.4,15.9,52.4,93.3,61.7,35.9
719,Mom,1811,20528.6948,26419.5148,-5890.82,1448.5091,23,39,11224.9248,15194.59,0.1503,1.3536,0.223,0.0684,0.1151,47.4,34.2,66.2,18.6,90.0,54.7
720,Flare,1555,4601.3,12883.68,-8282.38,398.6636,4,22,818.17,12065.51,0.873,14.7469,0.6429,0.0552,0.0258,47.4,96.1,6.2,26.9,13.6,52.5
721,Flare,1922,20333.2763,32457.7063,-12124.43,596.3364,21,49,13677.8293,18779.8771,0.1572,1.373,0.3735,0.0291,0.114,47.2,35.2,31.8,58.6,89.7,44.4
722,Super Skinny,1922,13342.1012,21030.9112,-7688.81,128.0727,14,30,9595.0392,11435.872,0.0875,1.1919,0.3656,0.0146,0.0748,47.2,30.4,34.0,78.8,72.1,39.3
723,Straight,1814,17558.4,30050.9,-12492.5,1607.9727,17,43,8454.45,21596.45,0.4373,2.5544,0.4157,0.0554,0.0985,47.2,57.8,24.5,26.4,84.2,52.3
724,Mom,1647,18048.0043,23434.0043,-5386.0,627.4546,20,34,12199.7424,11234.2618,-0.0412,0.9209,0.2298,0.0381,0.1012,47.1,22.6,64.1,45.9,85.8,47.4
725,Super Skinny,1671,7338.7263,8975.0663,-1636.34,0.0,8,12,5727.19,3247.8763,-0.2762,0.5671,0.1823,0.0,0.0412,47.0,11.1,75.1,93.3,33.9,35.4
726,Flare,1926,7512.0333,10421.0933,-2909.06,640.8909,8,14,2801.5956,7619.4977,0.4623,2.7197,0.2792,0.0579,0.0421,47.0,60.1,51.1,24.5,35.3,52.6
727,Super Skinny,1810,14649.9515,16971.6215,-2321.67,303.2364,16,20,12295.74,4675.8815,-0.449,0.3803,0.1368,0.0301,0.0822,46.9,7.3,84.2,57.2,76.7,44.3
728,Super Skinny,1836,7656.405,9565.475,-1909.07,197.4909,8,12,4909.02,4656.455,-0.0264,0.9486,0.1996,0.0202,0.0429,46.9,23.4,71.4,71.2,36.5,40.9
729,Flare,1872,5813.0481,10149.3781,-4336.33,642.7454,7,15,1537.6581,8611.72,0.697,5.6005,0.4273,0.0596,0.0326,46.8,82.9,22.5,23.2,22.7,52.7
730,Wide Leg,1760,4310.2851,7648.7651,-3338.48,-118.3091,3,11,999.99,6648.7751,0.7385,6.6488,0.4365,0.0579,0.0242,46.8,86.9,21.1,24.4,12.3,52.4
731,Skinny,1807,7643.39,8945.39,-1302.0,327.2727,6,10,4363.6,4581.79,0.0244,1.05,0.1455,0.0353,0.0429,46.7,26.2,82.8,50.3,36.3,45.8
732,Super Skinny,1864,11422.5013,18538.7813,-7116.28,188.0727,11,27,7718.7857,10819.9955,0.1673,1.4018,0.3839,0.0163,0.0641,46.7,36.0,30.0,76.6,63.3,39.2
