rank,fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct,potential_score,pctile_growth_index,pctile_return_rate_amount,pctile_discount_intensity,pctile_net_share_pct,score_excl_discount
508,Flare,1833,4685.7,9240.2,-4554.5,-231.1909,4,14,0.0,9240.2,1.0,,0.4929,0.032,0.0263,56.3,98.7,15.2,54.8,13.8,56.7
509,Flare,1660,5913.7777,8550.1177,-2636.34,166.6636,6,12,1363.62,7186.4977,0.681,5.2702,0.3083,0.0392,0.0332,56.2,80.9,45.4,45.0,23.4,59.0
510,Flare,1804,5002.3852,7888.7152,-2886.33,120.3818,5,11,818.1727,7070.5425,0.7926,8.6419,0.3659,0.0396,0.0281,56.2,91.1,33.9,44.3,16.5,59.2
511,Flare,1632,10416.23,14988.65,-4572.42,-98.1546,10,20,4272.67,10715.98,0.4299,2.508,0.3051,0.0244,0.0584,56.0,56.9,45.9,65.6,57.8,53.6
512,Mom,1882,10771.72,12660.24,-1888.52,709.0909,12,18,3531.77,9128.47,0.4421,2.5847,0.1492,0.0738,0.0604,55.9,58.0,82.2,16.1,59.4,65.8
513,Super Skinny,1714,21315.3816,23360.8016,-2045.42,8345.9727,33,38,8295.9555,15064.8462,0.2898,1.8159,0.0876,0.2685,0.1195,55.8,46.5,93.7,0.8,90.9,69.6
514,Flare,1524,9782.1526,12363.9426,-2581.79,-35.9636,10,16,5273.1026,7090.84,0.147,1.3447,0.2088,0.0088,0.0549,55.7,33.9,69.4,84.3,53.0,48.6
515,Straight,1693,8066.66,13178.91,-5112.25,964.1818,8,18,0.0,13178.91,1.0,,0.3879,0.0786,0.0452,55.6,98.7,28.8,14.6,39.7,65.8
516,Super Skinny,1578,17843.5686,21868.9686,-4025.4,618.1818,18,28,9438.96,12430.0086,0.1368,1.3169,0.1841,0.0327,0.1001,55.6,33.5,74.4,54.1,85.1,56.0
517,Super Skinny,1744,10212.6826,12820.5626,-2607.88,191.0909,9,17,4544.0826,8276.48,0.2911,1.8214,0.2034,0.0329,0.0573,55.5,46.8,70.5,53.7,56.0,55.9
518,Mom,1900,8490.6748,8490.6748,0.0,490.9091,10,10,3008.9148,5481.76,0.2912,1.8218,0.0,0.0547,0.0476,55.5,46.9,99.1,27.2,43.6,62.6
519,Slim Straight,1871,14404.0474,18404.0074,-3999.96,0.0,15,23,9767.7174,8636.29,-0.0615,0.8842,0.2173,0.0,0.0808,55.4,21.5,67.2,93.3,75.8,46.0
520,Flare,1925,12183.18,17464.94,-5281.76,768.5182,12,24,4333.27,13131.67,0.5038,3.0304,0.3024,0.0421,0.0683,55.4,63.9,46.7,40.6,66.9,59.1
521,Straight,1813,12207.79,23116.79,-10909.0,890.8091,12,34,2636.33,20480.46,0.7719,7.7685,0.4719,0.055,0.0685,55.4,89.0,17.4,27.1,67.0,62.5
522,Mom,1687,32179.9187,39088.9187,-6909.0,1873.2546,37,53,16273.4498,22815.469,0.1674,1.402,0.1768,0.0457,0.1805,55.3,36.1,75.9,36.0,98.0,60.1
