StoreCode,net_sales,gross_sales,return_amount,n_rows,net_qty,rank,share_pct,cum_share_pct,return_rate_amount
1550,26258.41,45914.06,-19655.65,66,24,256,0.15,91.72,0.43
1634,26220.74,30742.7,-4521.96,33,25,257,0.15,91.87,0.15
1504,26026.48,41927.86,-15901.38,61,25,258,0.15,92.02,0.38
1573,26018.44,37786.49,-11768.05,54,28,259,0.15,92.16,0.31
1590,25464.66,42041.08,-16576.42,58,24,260,0.14,92.31,0.39
1924,25359.52,27359.5,-1999.98,29,25,261,0.14,92.45,0.07
1929,25321.61,30409.28,-5087.67,36,24,262,0.14,92.59,0.17
1676,25222.59,48384.47,-23161.88,78,28,263,0.14,92.73,0.48
1762,24882.57,32191.58,-7309.01,42,26,264,0.14,92.87,0.23
1592,24591.22,34745.67,-10154.45,46,26,265,0.14,93.01,0.29
1501,24417.02,40662.32,-16245.3,56,25,266,0.14,93.15,0.4
1888,24190.94,27281.81,-3090.87,31,23,267,0.14,93.28,0.11
1833,24063.2,39932.08,-15868.88,58,24,268,0.13,93.42,0.4
1607,23354.36,39821.25,-16466.89,63,25,269,0.13,93.55,0.41
1513,23140.07,44101.79,-20961.72,69,21,270,0.13,93.68,0.48
1529,22713.31,34804.31,-12091.0,49,21,271,0.13,93.8,0.35
1704,22642.2,25365.53,-2723.33,30,24,272,0.13,93.93,0.11
1711,22514.02,28013.96,-5499.94,42,30,273,0.13,94.06,0.2
1753,22156.18,25792.5,-3636.32,32,22,274,0.12,94.18,0.14
1768,22059.41,25417.91,-3358.5,44,33,275,0.12,94.31,0.13
1539,21917.14,27644.35,-5727.21,34,22,276,0.12,94.43,0.21
1544,21252.41,38632.52,-17380.11,59,23,277,0.12,94.55,0.45
1790,21089.46,26738.42,-5648.96,38,24,278,0.12,94.67,0.21
1717,20929.02,27733.56,-6804.54,37,21,279,0.12,94.78,0.25
1633,20878.9,23480.07,-2601.17,28,22,280,0.12,94.9,0.11
1670,20526.24,29631.06,-9104.82,44,22,281,0.12,95.02,0.31
1627,20492.68,31202.68,-10710.0,43,19,282,0.11,95.13,0.34
1595,20270.46,36891.89,-16621.43,56,18,283,0.11,95.24,0.45
1582,19641.89,37211.86,-17569.97,58,20,284,0.11,95.35,0.47
1755,19520.28,36640.69,-17120.41,69,23,285,0.11,95.46,0.47
1698,19460.7,29218.49,-9757.79,43,19,286,0.11,95.57,0.33
1648,19076.1,22433.38,-3357.28,28,20,287,0.11,95.68,0.15
1933,18983.35,24410.94,-5427.59,32,20,288,0.11,95.79,0.22
1878,18866.34,23935.35,-5069.01,32,20,289,0.11,95.89,0.21
1900,18831.32,26122.17,-7290.85,34,20,290,0.11,96.0,0.28
1580,18661.01,30229.09,-11568.08,41,20,291,0.1,96.1,0.38
1869,18484.36,36200.89,-17716.53,59,17,292,0.1,96.21,0.49
1779,18360.03,24687.24,-6327.21,32,18,293,0.1,96.31,0.26
1710,18018.27,18018.27,0.0,19,19,294,0.1,96.41,0.0
1742,17487.93,18361.88,-873.95,21,19,295,0.1,96.51,0.05
1567,17466.21,26547.36,-9081.15,38,18,296,0.1,96.61,0.34
1880,17230.5,26648.58,-9418.08,37,18,297,0.1,96.7,0.35
1770,17148.42,17148.42,0.0,19,19,298,0.1,96.8,0.0
1584,16915.28,25126.24,-8210.96,37,15,299,0.09,96.89,0.33
1785,16881.72,22008.95,-5127.23,28,19,300,0.09,96.99,0.23
1635,16531.19,21094.77,-4563.58,27,17,301,0.09,97.08,0.22
1571,16454.98,26239.74,-9784.76,38,18,302,0.09,97.17,0.37
1858,16275.46,27454.77,-11179.31,47,19,303,0.09,97.26,0.41
1604,16188.39,25833.74,-9645.35,37,15,304,0.09,97.36,0.37
1918,16165.19,22246.07,-6080.88,41,23,305,0.09,97.45,0.27
1522,16060.84,26692.56,-10631.72,38,16,306,0.09,97.54,0.4
1851,15495.37,30056.75,-14561.38,56,21,307,0.09,97.62,0.48
1587,15280.11,22322.97,-7042.86,31,17,308,0.09,97.71,0.32
1886,15237.17,32634.7,-17397.53,54,16,309,0.09,97.79,0.53
