fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct
Wide Leg,1610,998.84,2016.51,-1017.67,-89.7545,1,3,2016.51,0.0,-1.0,0.0,0.5047,0.0356,0.0056
Wide Leg,1611,1854.53,1854.53,0.0,327.2727,2,2,1090.9,763.63,-0.1765,0.7,0.0,0.15,0.0104
Wide Leg,1612,4529.1274,5710.9374,-1181.81,0.0,4,6,999.99,4710.9474,0.6498,4.711,0.2069,0.0,0.0254
Wide Leg,1619,7315.6576,7315.6576,0.0,300.0,7,7,3090.88,4224.7776,0.155,1.3669,0.0,0.0394,0.041
Wide Leg,1623,4777.1354,5757.7854,-980.65,876.2818,5,7,1090.9,4666.8854,0.6211,4.278,0.1703,0.1321,0.0268
Wide Leg,1627,-555.55,1181.81,-1737.36,0.0,-1,3,0.0,1181.81,1.0,,1.4701,0.0,-0.0031
Wide Leg,1629,1131.6119,1131.6119,0.0,0.0,1,1,0.0,1131.6119,1.0,,0.0,0.0,0.0063
Wide Leg,1630,36.36,3181.79,-3145.43,0.0,0,6,1999.98,1181.81,-0.2571,0.5909,0.9886,0.0,0.0002
Wide Leg,1633,4660.4668,4660.4668,0.0,0.0,4,4,0.0,4660.4668,1.0,,0.0,0.0,0.0261
Wide Leg,1634,2510.6259,3692.4359,-1181.81,0.0,2,4,0.0,3692.4359,1.0,,0.3201,0.0,0.0141
Wide Leg,1635,2374.53,2374.53,0.0,0.0,2,2,0.0,2374.53,1.0,,0.0,0.0,0.0133
Wide Leg,1639,999.99,999.99,0.0,0.0,1,1,999.99,0.0,-1.0,0.0,0.0,0.0,0.0056
Wide Leg,1642,4440.0363,5621.8463,-1181.81,201.1636,4,6,1090.9,4530.9463,0.6119,4.1534,0.2102,0.0345,0.0249
Wide Leg,1643,1581.81,3545.43,-1963.62,0.0,1,5,0.0,3545.43,1.0,,0.5538,0.0,0.0089
