store_code,net_sales,gross_sales,return_amount,return_rate_amount,net_quantity,n_transactions,avg_line_amount,revenue_rank,revenue_share_pct,revenue_tier,active_months,first_sale_date,last_sale_date,top_fit,top_fit_share_pct
1733,12998.445070000002,16362.05507,-3363.61,0.2056,17,23,565.15,320,0.0729,C,11,2024-02-18,2025-01-31,Mom,43.25
1781,12963.86603,13782.03603,-818.17,0.0594,14,16,810.24,321,0.0727,C,10,2024-03-24,2025-01-07,Mom,32.65
1531,12745.656630000001,17873.95663,-5128.3,0.2869,14,24,531.07,322,0.0715,C,12,2024-02-07,2025-01-12,Flare,22.54
1881,12439.201860000001,26060.36186,-13621.16,0.5227,16,48,259.15,323,0.0698,C,11,2024-02-16,2025-01-29,Mom,49.46
1724,12236.76654,19463.97654,-7227.21,0.3713,13,27,453.21,324,0.0686,C,11,2024-02-23,2025-01-26,Flare,34.92
1934,12170.773570000001,24225.20357,-12054.43,0.4976,14,38,320.28,325,0.0683,C,11,2024-02-18,2025-01-29,Mom,43.55
1600,11984.57984,20911.76984,-8927.19,0.4269,13,31,386.6,326,0.0672,C,12,2024-02-16,2025-01-23,Wide Leg,26.82
1893,11769.51963,16143.209630000001,-4373.6900000000005,0.2709,11,21,560.45,327,0.066,C,10,2024-02-01,2025-01-26,Flare,27.81
1792,11486.48157,12968.28157,-1481.8,0.1143,15,19,604.55,328,0.0644,C,9,2024-03-10,2025-01-03,Mom,39.56
1697,9767.4993,9767.4993,0.0,0.0,9,9,1085.28,329,0.0548,C,4,2024-10-19,2025-01-17,Straight,51.88
1611,9139.52333,10884.96333,-1745.44,0.1604,9,13,703.04,330,0.0513,C,8,2024-03-10,2025-01-19,Mom,32.0
1745,8963.65,12499.96,-3536.31,0.2829,9,19,471.77,331,0.0503,C,9,2024-02-12,2024-12-14,Slim Straight,30.43
1901,8961.16325,8961.16325,0.0,0.0,4,4,2240.29,332,0.0503,C,3,2024-06-17,2024-12-20,Straight,45.17
1601,8689.88208,14962.552080000001,-6272.67,0.4192,9,21,413.8,333,0.0487,C,7,2024-06-05,2025-01-04,Flare,50.95
1562,8473.97996,13564.839960000001,-5090.86,0.3753,9,19,446.0,334,0.0475,C,11,2024-02-11,2025-01-11,Flare,44.31
